ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
930903.CSI,20240923,2566.7024,2559.8042,2580.8624,2554.3424,2560.8356,5.8668,0.2291,606141319.45,542305307.817
930903.CSI,20240924,2670.7424,2585.3052,2670.7424,2571.7818,2566.7024,104.04,4.0535,1043113843.46,959723571.997
930903.CSI,20240925,2704.7241,2704.2579,2760.5856,2699.2286,2670.7424,33.9817,1.2724,1257667000.48,1143742707.734
930903.CSI,20240926,2813.5735,2701.1314,2813.5735,2697.7583,2704.7241,108.8494,4.0244,1257056444.73,1148135241.806
930903.CSI,20240927,2948.9669,2865.0113,2958.943,2855.0412,2813.5735,135.3934,4.8122,1412005683.76,1431213647.958
930903.CSI,20240930,3233.85,3072.3567,3248.4883,3029.8694,2948.9669,284.8831,9.6604,2377039027.93,2563312714.22
930903.CSI,20241008,3461.4726,3609.6323,3609.6323,3300.4477,3233.85,227.6226,7.0387,2850754756.18,3413764525.793
930903.CSI,20241009,3202.9199,3380.462,3403.3762,3193.6183,3461.4726,-258.5527,-7.4694,2238162837.89,2919475183.678
930903.CSI,20241010,3208.8999,3223.7749,3302.4976,3149.4402,3202.9199,5.98,0.1867,1772574451.39,2124447780.758
930903.CSI,20241011,3101.0883,3185.4871,3185.4871,3067.428,3208.8999,-107.8116,-3.3598,1348435485.89,1551215388.826
930903.CSI,20241014,3180.5481,3121.4697,3188.3011,3077.9863,3101.0883,79.4598,2.5623,1379553716.64,1620115403.41
930903.CSI,20241015,3108.8154,3164.037,3204.7577,3108.8154,3180.5481,-71.7327,-2.2554,1347192510.93,1621358522.082
930903.CSI,20241016,3102.6024,3066.5127,3140.4449,3065.6795,3108.8154,-6.213,-0.1999,1196410655.24,1359345101.122
930903.CSI,20241017,3079.2247,3122.3123,3147.8294,3078.8389,3102.6024,-23.3777,-0.7535,1278145557.29,1488713625.517
930903.CSI,20241018,3194.0063,3072.4604,3256.6358,3068.5022,3079.2247,114.7816,3.7276,1633581075.94,2093521215.711
930903.CSI,20241021,3229.2506,3214.2764,3269.0018,3187.0443,3194.0063,35.2443,1.1035,1625781594.36,2188248681.834
930903.CSI,20241022,3250.6401,3225.8193,3266.2,3212.9056,3229.2506,21.3895,0.6624,1496090281.27,1925445863.543
930903.CSI,20241023,3262.3025,3246.2899,3300.807,3236.031,3250.6401,11.6624,0.3588,1558505705.46,1933943617.788
930903.CSI,20241024,3236.4621,3244.8062,3252.9683,3222.7685,3262.3025,-25.8404,-0.7921,1255606140.52,1528413754.911
930903.CSI,20241025,3278.7932,3241.7611,3304.9085,3241.7611,3236.4621,42.3311,1.3079,1454190091.31,1792341556.629
930903.CSI,20241028,3317.1482,3281.6347,3317.1482,3265.6924,3278.7932,38.355,1.1698,1617591666.71,1871435162.985
930903.CSI,20241029,3277.3765,3327.2122,3335.9275,3276.3562,3317.1482,-39.7717,-1.199,1741870096.71,2074462990.766
930903.CSI,20241030,3272.3511,3261.1007,3292.2457,3242.9515,3277.3765,-5.0254,-0.1533,1581241116.58,1858111957.221
930903.CSI,20241031,3298.6234,3275.1527,3317.4634,3260.2333,3272.3511,26.2723,0.8029,1867755319.05,2224541570.628
930903.CSI,20241101,3249.2779,3291.74,3307.4809,3240.7718,3298.6234,-49.3455,-1.4959,2012712624.8,2231387071.96
930903.CSI,20241104,3304.2312,3247.8702,3304.2312,3247.8702,3249.2779,54.9533,1.6912,1477237675.47,1696684126.487
930903.CSI,20241105,3401.8637,3302.3108,3404.4082,3296.4547,3304.2312,97.6325,2.9548,1890430604.83,2314803868.46
930903.CSI,20241106,3405.208,3412.5564,3449.778,3384.6714,3401.8637,3.3443,0.0983,2098970938.47,2581289304.171
930903.CSI,20241107,3491.611,3375.9573,3491.611,3371.6507,3405.208,86.403,2.5374,2162472982.35,2519842053.235
930903.CSI,20241108,3477.0811,3529.4956,3540.2967,3468.4491,3491.611,-14.5299,-0.4161,2197542363.09,2686667475.218
930903.CSI,20241111,3524.9242,3457.3913,3525.451,3454.6908,3477.0811,47.8431,1.376,1920968133.57,2503421629.373
930903.CSI,20241112,3484.0576,3529.3682,3552.5347,3455.9804,3524.9242,-40.8666,-1.1594,1924830117.42,2542366865.279
930903.CSI,20241113,3493.3085,3463.3671,3495.7867,3438.7194,3484.0576,9.2509,0.2655,1549891872.52,1998734405.245
930903.CSI,20241114,3408.5195,3484.0346,3490.544,3404.599,3493.3085,-84.789,-2.4272,1439754052.44,1832683672.987
930903.CSI,20241115,3338.4311,3395.3015,3423.8132,3338.4311,3408.5195,-70.0884,-2.0563,1449233722.02,1828793971.821
930903.CSI,20241118,3291.7717,3350.6792,3368.293,3273.8064,3338.4311,-46.6594,-1.3976,1601951427.65,1768378376.048
930903.CSI,20241119,3342.1561,3293.6679,3342.3389,3256.5986,3291.7717,50.3844,1.5306,1385141755.97,1570843996.549
930903.CSI,20241120,3379.075,3333.2853,3389.301,3329.3228,3342.1561,36.9189,1.1046,1370934484.14,1623935021.217
930903.CSI,20241121,3383.614,3372.5493,3395.2734,3357.1864,3379.075,4.539,0.1343,1339104333.64,1626574209.34
930903.CSI,20241122,3269.1592,3376.6616,3385.7601,3269.1592,3383.614,-114.4548,-3.3826,1543378992.97,1800359801.816
930903.CSI,20241125,3271.0749,3276.0593,3287.0176,3227.6166,3269.1592,1.9157,0.0586,1296855667.44,1499113694.287
930903.CSI,20241126,3249.5829,3262.7614,3290.6996,3248.3027,3271.0749,-21.492,-0.657,1173150082.91,1310217186.366
930903.CSI,20241127,3310.1757,3235.0746,3310.2302,3204.4632,3249.5829,60.5928,1.8646,1292173401.25,1460956806.43
930903.CSI,20241128,3292.1492,3309.9175,3323.6581,3286.9827,3310.1757,-18.0265,-0.5446,1351893568.9,1499940725.862
930903.CSI,20241129,3338.6485,3286.5554,3369.9642,3282.4467,3292.1492,46.4993,1.4124,1459762136.66,1716019987.654
930903.CSI,20241202,3388.7402,3337.7636,3394.2652,3335.8775,3338.6485,50.0917,1.5004,1596123617.02,1796846247.848
930903.CSI,20241203,3391.311,3391.0219,3404.7969,3363.5734,3388.7402,2.5708,0.0759,1593391905.74,1728527288.473
930903.CSI,20241204,3358.8653,3387.6087,3395.5914,3344.9397,3391.311,-32.4457,-0.9567,1537433311.44,1667535845.693
930903.CSI,20241205,3375.5724,3346.5347,3383.3714,3346.5322,3358.8653,16.7071,0.4974,1376045275.2,1499123774.68
930903.CSI,20241206,3415.3107,3378.7554,3432.3298,3365.4471,3375.5724,39.7383,1.1772,1709362120.44,1787237949.307
930903.CSI,20241209,3403.0095,3414.0219,3429.4523,3381.8007,3415.3107,-12.3012,-0.3602,1629918205.07,1630718285.258
930903.CSI,20241210,3428.9178,3508.5178,3512.4595,3423.4956,3403.0095,25.9083,0.7613,1945363155.97,2192439919.338
930903.CSI,20241211,3448.7597,3419.2282,3451.3077,3419.0812,3428.9178,19.8419,0.5787,1678721610.31,1770937096.543
930903.CSI,20241212,3480.8393,3448.4295,3482.7726,3435.334,3448.7597,32.0796,0.9302,1721664843.73,1859176184.715
930903.CSI,20241213,3408.4569,3458.2339,3458.2339,3407.2873,3480.8393,-72.3824,-2.0795,1834555002.87,2062310246.85
930903.CSI,20241216,3381.6002,3407.3395,3413.1023,3369.2709,3408.4569,-26.8567,-0.7879,1529821245.6,1691968395.261
930903.CSI,20241217,3337.8333,3374.8767,3385.8144,3333.8208,3381.6002,-43.7669,-1.2943,1406035821.97,1500260801.226
930903.CSI,20241218,3358.6845,3344.6645,3377.108,3335.9305,3337.8333,20.8512,0.6247,1236331472.31,1354290284.97
930903.CSI,20241219,3361.8339,3326.82,3369.8471,3319.9891,3358.6845,3.1494,0.0938,1259659681.53,1443234903.066
930903.CSI,20241220,3369.5271,3354.782,3394.1807,3354.782,3361.8339,7.6932,0.2288,1206860389.64,1505777466.797
930903.CSI,20241223,3314.894,3367.6069,3374.5336,3311.345,3369.5271,-54.6331,-1.6214,1330871729.03,1519804450.508
930903.CSI,20241224,3352.8365,3318.8328,3353.1355,3313.0692,3314.894,37.9425,1.1446,1117175275.68,1293858768.859
930903.CSI,20241225,3326.4126,3352.4599,3353.4346,3304.4815,3352.8365,-26.4239,-0.7881,1121637119.45,1270201840.212
930903.CSI,20241226,3345.6178,3321.4587,3353.9332,3318.5795,3326.4126,19.2052,0.5774,999386832.25,1261601504.274
930903.CSI,20241227,3350.0484,3346.6656,3381.7392,3341.0565,3345.6178,4.4306,0.1324,1162907527.56,1422514693.272
930903.CSI,20241230,3346.6491,3344.7134,3358.2454,3332.0212,3350.0484,-3.3993,-0.1015,1043244357.76,1261979233.049
930903.CSI,20241231,3271.7531,3346.9511,3351.053,3271.7531,3346.6491,-74.896,-2.2379,1128093196.83,1334004724.397
930903.CSI,20250102,3185.4261,3267.607,3270.292,3161.1166,3271.7531,-86.327,-2.6386,1221246292.52,1385096345.778
930903.CSI,20250103,3115.2549,3190.3963,3197.2568,3111.9999,3185.4261,-70.1712,-2.2029,1180512781.98,1254883693.273
930903.CSI,20250106,3105.9875,3110.809,3132.0156,3084.524,3115.2549,-9.2674,-0.2975,999066597.89,1049847203.821
930903.CSI,20250107,3145.7699,3103.8033,3146.475,3096.6452,3105.9875,39.7824,1.2808,981868474.57,1068069451.831
930903.CSI,20250108,3139.9332,3132.7941,3159.5453,3070.9016,3145.7699,-5.8367,-0.1855,1139195189.49,1235271652.293
930903.CSI,20250109,3139.7141,3128.2019,3156.3939,3125.3252,3139.9332,-0.2191,-0.007,972763509.78,1105221595.774
930903.CSI,20250110,3082.5315,3136.3773,3153.0014,3082.5315,3139.7141,-57.1826,-1.8213,1001827174.1,1135650147.355
930903.CSI,20250113,3080.2755,3053.4856,3097.6434,3051.1172,3082.5315,-2.256,-0.0732,862246224.01,955252845.224
930903.CSI,20250114,3190.6734,3088.7924,3193.2361,3083.6521,3080.2755,110.3979,3.584,1145388502.82,1345418431.385
930903.CSI,20250115,3171.4062,3185.5806,3192.7614,3164.7233,3190.6734,-19.2672,-0.6039,1019470832.25,1186407409.245
930903.CSI,20250116,3182.6193,3186.1375,3225.0433,3158.6243,3171.4062,11.2131,0.3536,1096976248.35,1269053820.898
930903.CSI,20250117,3193.3462,3171.2491,3212.1816,3166.3484,3182.6193,10.7269,0.337,946009081.32,1129565064.42
930903.CSI,20250120,3212.147,3213.2273,3235.1528,3203.0423,3193.3462,18.8008,0.5887,977965091.58,1176102455.823
930903.CSI,20250121,3217.1925,3228.2839,3230.2702,3194.7271,3212.147,5.0455,0.1571,966827070.92,1195126703.956
930903.CSI,20250122,3187.2256,3205.2465,3205.2465,3176.4064,3217.1925,-29.9669,-0.9315,882970799.82,1124858880.651
930903.CSI,20250123,3184.2444,3216.2322,3249.6551,3184.2444,3187.2256,-2.9812,-0.0935,1089525374.84,1341913965.027
930903.CSI,20250124,3219.124,3175.4474,3222.7547,3175.4019,3184.2444,34.8796,1.0954,971286790.16,1211588975.624
930903.CSI,20250127,3190.4846,3224.4893,3235.4354,3190.4846,3219.124,-28.6394,-0.8897,903470693.96,1105444300.064
930903.CSI,20250205,3195.1538,3216.6938,3218.2918,3183.2958,3190.4846,4.6692,0.1463,975479578.2,1279635252.24
930903.CSI,20250206,3256.9051,3190.1963,3257.1445,3186.9141,3195.1538,61.7513,1.9327,1159331011.07,1530512435.822
930903.CSI,20250207,3303.803,3258.2353,3330.4583,3253.463,3256.9051,46.8979,1.44,1472661959.35,1961297058.788
930903.CSI,20250210,3334.274,3311.9858,3335.7795,3299.6573,3303.803,30.471,0.9223,1353189254.86,1734927323.687
930903.CSI,20250211,3320.5772,3335.8305,3335.8305,3307.1481,3334.274,-13.6968,-0.4108,1274946869.84,1651068099.208
930903.CSI,20250212,3359.8051,3312.6646,3359.8051,3311.2245,3320.5772,39.2279,1.1814,1266684055.37,1688422495.163
930903.CSI,20250213,3337.8794,3357.6539,3371.4289,3335.1166,3359.8051,-21.9257,-0.6526,1398154697.27,1830819252.925
930903.CSI,20250214,3358.6637,3332.3584,3361.9314,3328.692,3337.8794,20.7843,0.6227,1307508310.55,1722722605.017
930903.CSI,20250217,3375.8958,3373.5869,3381.7808,3350.0734,3358.6637,17.2321,0.5131,1444238791.72,1947359773.526
930903.CSI,20250218,3320.8402,3369.7685,3377.7444,3309.8376,3375.8958,-55.0556,-1.6308,1387620792.93,1800230360.277
930903.CSI,20250219,3371.5674,3316.6937,3371.8444,3316.6937,3320.8402,50.7272,1.5275,1241475782.95,1726448922.494
930903.CSI,20250220,3380.176,3369.2222,3387.7007,3360.0174,3371.5674,8.6086,0.2553,1277681415.0,1768133256.681
930903.CSI,20250221,3426.4779,3386.8808,3428.1666,3371.6721,3380.176,46.3019,1.3698,1504250235.87,2204466535.451
930903.CSI,20250224,3425.178,3423.4778,3440.256,3402.284,3426.4779,-1.2999,-0.0379,1468310249.38,2088750616.891
930903.CSI,20250225,3396.8402,3385.2099,3426.7505,3380.788,3425.178,-28.3378,-0.8273,1327170605.53,1899201852.136
930903.CSI,20250226,3435.9369,3403.6146,3435.9369,3401.9254,3396.8402,39.0967,1.151,1384745796.48,1943405980.959
930903.CSI,20250227,3433.6222,3436.2317,3447.6768,3390.4547,3435.9369,-2.3147,-0.0674,1459276425.17,2013067290.198
930903.CSI,20250228,3339.9955,3416.5257,3419.0753,3334.6799,3433.6222,-93.6267,-2.7268,1380832237.29,1873950974.234
930903.CSI,20250303,3344.2652,3349.0822,3387.5848,3327.2094,3339.9955,4.2697,0.1278,1217082928.58,1634460454.659
930903.CSI,20250304,3364.6891,3320.9082,3366.1563,3319.6092,3344.2652,20.4239,0.6107,1061039947.72,1451429245.682
930903.CSI,20250305,3380.4681,3365.6233,3380.952,3346.869,3364.6891,15.779,0.469,1126285088.87,1520060615.857
930903.CSI,20250306,3436.0882,3397.7349,3443.5777,3395.9395,3380.4681,55.6201,1.6453,1353724653.09,1924257819.202
930903.CSI,20250307,3421.4262,3425.3046,3446.2786,3407.543,3436.0882,-14.662,-0.4267,1330011532.58,1833807881.075
930903.CSI,20250310,3419.4669,3424.7917,3432.8221,3395.9291,3421.4262,-1.9593,-0.0573,1118470033.12,1520945379.161
930903.CSI,20250311,3432.3195,3380.3562,3432.3197,3379.2265,3419.4669,12.8526,0.3759,1106027392.01,1488642536.262
930903.CSI,20250312,3432.2442,3442.8547,3458.8042,3428.7777,3432.3195,-0.0753,-0.0022,1248115311.45,1693900301.599
930903.CSI,20250313,3401.9252,3428.6495,3436.7483,3379.4713,3432.2442,-30.319,-0.8834,1239202052.91,1617858586.794
930903.CSI,20250314,3471.7019,3403.9906,3471.7019,3400.8388,3401.9252,69.7767,2.0511,1335405903.31,1812751365.405
930903.CSI,20250317,3475.7445,3482.9533,3488.2388,3470.5557,3471.7019,4.0426,0.1164,1210617362.0,1593615564.258
930903.CSI,20250318,3488.2164,3486.3597,3496.4296,3474.3366,3475.7445,12.4719,0.3588,1115675034.07,1532817271.726
930903.CSI,20250319,3476.9313,3481.1666,3492.868,3463.0258,3488.2164,-11.2851,-0.3235,1088842086.56,1477561108.43
930903.CSI,20250320,3455.7349,3474.3065,3480.9154,3452.2779,3476.9313,-21.1964,-0.6096,1099876787.81,1447903373.376
930903.CSI,20250321,3398.0187,3444.7212,3455.81,3388.7678,3455.7349,-57.7162,-1.6702,1239910635.41,1550579706.974
930903.CSI,20250324,3389.0361,3397.5813,3403.4178,3344.8175,3398.0187,-8.9826,-0.2643,1227888199.43,1446536177.37
930903.CSI,20250325,3376.1687,3387.8942,3397.2915,3365.8467,3389.0361,-12.8674,-0.3797,1049328145.89,1261983387.617
930903.CSI,20250326,3380.2149,3370.4071,3396.4579,3370.4071,3376.1687,4.0462,0.1198,980427588.45,1156446511.589
930903.CSI,20250327,3381.0235,3371.5529,3405.7318,3351.3174,3380.2149,0.8086,0.0239,971185231.22,1186995072.857
930903.CSI,20250328,3354.4884,3378.3825,3385.9101,3351.0993,3381.0235,-26.5351,-0.7848,950989643.04,1119235701.49
930903.CSI,20250331,3325.4107,3339.1863,3351.0499,3297.3559,3354.4884,-29.0777,-0.8668,1023351420.27,1216259165.448
930903.CSI,20250401,3337.7402,3331.7491,3355.6861,3330.3531,3325.4107,12.3295,0.3708,914883856.51,1128897329.976
930903.CSI,20250402,3339.8758,3334.0085,3357.7661,3332.9883,3337.7402,2.1356,0.064,796336634.86,969330689.884
930903.CSI,20250403,3313.9367,3304.5123,3342.5249,3298.879,3339.8758,-25.9391,-0.7766,912214318.51,1131780384.702
930903.CSI,20250407,3007.0184,3132.1723,3158.7054,2960.6343,3313.9367,-306.9183,-9.2614,1384790688.4,1587792597.092
930903.CSI,20250408,3038.4025,3002.705,3051.8916,2988.7295,3007.0184,31.3841,1.0437,1469633062.5,1624021033.075
930903.CSI,20250409,3091.8468,2994.6099,3100.8539,2930.3214,3038.4025,53.4443,1.759,1544285274.55,1705234315.545
930903.CSI,20250410,3150.7665,3146.1932,3181.9308,3130.2756,3091.8468,58.9197,1.9056,1381915600.95,1626191528.359
930903.CSI,20250411,3172.4623,3137.5943,3193.5942,3135.1517,3150.7665,21.6958,0.6886,1107957117.1,1363777176.572
930903.CSI,20250414,3200.2341,3200.4265,3218.4519,3191.4192,3172.4623,27.7718,0.8754,1081658471.02,1286939569.226
930903.CSI,20250415,3195.9889,3199.5183,3202.2108,3176.6201,3200.2341,-4.2452,-0.1327,926905819.68,1082101104.625
930903.CSI,20250416,3179.22,3189.7649,3189.9712,3137.0381,3195.9889,-16.7689,-0.5247,968177973.28,1110276229.312
930903.CSI,20250417,3182.9582,3162.8794,3198.067,3160.9841,3179.22,3.7382,0.1176,861485690.0,1001011825.625
930903.CSI,20250418,3182.2534,3175.6201,3188.7167,3163.8218,3182.9582,-0.7048,-0.0221,833174076.51,921883590.979
930903.CSI,20250421,3218.2634,3178.1712,3219.7688,3170.0119,3182.2534,36.01,1.1316,902648613.47,1047450995.379
930903.CSI,20250422,3215.5418,3214.4325,3229.1513,3211.2782,3218.2634,-2.7216,-0.0846,959692542.93,1093527781.019
930903.CSI,20250423,3226.3212,3229.9981,3239.0131,3218.3458,3215.5418,10.7794,0.3352,1011533259.71,1230279327.152
930903.CSI,20250424,3210.4779,3224.8985,3237.0745,3199.6827,3226.3212,-15.8433,-0.4911,953840670.36,1105659920.778
930903.CSI,20250425,3216.4539,3215.1578,3233.5396,3206.7508,3210.4779,5.976,0.1861,970405434.49,1105151002.182
930903.CSI,20250428,3197.1903,3214.2181,3214.3988,3192.6575,3216.4539,-19.2636,-0.5989,942905902.72,1048382353.19
930903.CSI,20250429,3203.5344,3188.9839,3211.8524,3183.9736,3197.1903,6.3441,0.1984,871708681.38,1014027411.4
930903.CSI,20250430,3216.0865,3204.9475,3223.9078,3203.9314,3203.5344,12.5521,0.3918,975234861.26,1165817505.026
930903.CSI,20250506,3274.9468,3238.1129,3275.0114,3235.3448,3216.0865,58.8603,1.8302,1090243271.16,1336149664.83
930903.CSI,20250507,3291.512,3315.9157,3321.2752,3270.4698,3274.9468,16.5652,0.5058,1205994122.15,1472985261.655
930903.CSI,20250508,3313.2991,3281.1474,3318.8765,3277.4287,3291.512,21.7871,0.6619,1048839450.01,1293798100.598
930903.CSI,20250509,3289.9028,3310.0016,3310.0016,3279.6711,3313.2991,-23.3963,-0.7061,976284277.9,1192910023.394
930903.CSI,20250512,3332.0903,3308.8027,3332.0903,3303.7589,3289.9028,42.1875,1.2823,988130172.79,1308776361.913
930903.CSI,20250513,3329.8987,3356.8446,3356.8446,3325.7527,3332.0903,-2.1916,-0.0658,1005797449.7,1289953052.894
930903.CSI,20250514,3352.9698,3327.6429,3369.6051,3318.9549,3329.8987,23.0711,0.6928,1058899804.93,1317091744.835
930903.CSI,20250515,3313.7423,3345.5674,3345.5674,3312.4924,3352.9698,-39.2275,-1.1699,971639227.1,1157676093.787
930903.CSI,20250516,3312.326,3305.7844,3320.7842,3303.1323,3313.7423,-1.4163,-0.0427,911109495.54,1091764809.43
930903.CSI,20250519,3317.1132,3311.7679,3321.3524,3291.1022,3312.326,4.7872,0.1445,933381864.37,1087572233.044
930903.CSI,20250520,3339.036,3320.5279,3345.1408,3314.0877,3317.1132,21.9228,0.6609,980170456.93,1177358264.452
930903.CSI,20250521,3341.232,3336.5641,3348.8546,3334.1865,3339.036,2.196,0.0658,969062218.12,1181893091.356
930903.CSI,20250522,3319.9358,3333.5583,3343.0411,3317.1589,3341.232,-21.2962,-0.6374,924330386.72,1105580091.802
930903.CSI,20250523,3288.6588,3316.2648,3339.4989,3288.6588,3319.9358,-31.277,-0.9421,937855582.88,1150060552.293
930903.CSI,20250526,3292.2342,3285.6706,3303.7774,3274.8617,3288.6588,3.5754,0.1087,813614667.29,1008007857.523
930903.CSI,20250527,3281.9159,3289.4246,3290.6833,3270.3044,3292.2342,-10.3183,-0.3134,822673637.6,998255804.913
930903.CSI,20250528,3274.8516,3283.2428,3288.8231,3270.5701,3281.9159,-7.0643,-0.2152,851686673.13,1004944378.94
930903.CSI,20250529,3312.7933,3273.8847,3315.4336,3273.2875,3274.8516,37.9417,1.1586,983216357.03,1182977614.899
930903.CSI,20250530,3284.2831,3304.9159,3305.4877,3282.9429,3312.7933,-28.5102,-0.8606,953652578.1,1133684626.976
930903.CSI,20250603,3300.6796,3274.9129,3304.9769,3274.9129,3284.2831,16.3965,0.4992,932057813.98,1135875787.246
930903.CSI,20250604,3323.4187,3302.6235,3325.9194,3302.6235,3300.6796,22.7391,0.6889,942939702.38,1146785123.021
930903.CSI,20250605,3336.3618,3325.374,3340.8503,3315.4346,3323.4187,12.9431,0.3895,1003233876.52,1280360648.613
930903.CSI,20250606,3332.9437,3335.3945,3339.7735,3326.4976,3336.3618,-3.4181,-0.1024,913108321.09,1144511827.644
930903.CSI,20250609,3357.5802,3337.4443,3361.1166,3335.1998,3332.9437,24.6365,0.7392,1012172264.91,1278060329.59
930903.CSI,20250610,3334.3913,3359.1302,3359.7039,3310.1189,3357.5802,-23.1889,-0.6906,1154184564.26,1410667777.36
930903.CSI,20250611,3354.8786,3336.4338,3368.1239,3336.4338,3334.3913,20.4873,0.6144,1012511986.96,1248002878.527
930903.CSI,20250612,3356.7343,3346.6541,3361.83,3340.0673,3354.8786,1.8557,0.0553,986322848.89,1264257221.595
930903.CSI,20250613,3318.1706,3346.3913,3350.1187,3311.6588,3356.7343,-38.5637,-1.1488,1178084532.41,1460118926.656
930903.CSI,20250616,3335.6706,3308.8312,3336.1901,3308.8312,3318.1706,17.5,0.5274,950335226.63,1212328562.5
930903.CSI,20250617,3331.3491,3337.9907,3344.1418,3323.0425,3335.6706,-4.3215,-0.1296,961609552.42,1204098798.417
930903.CSI,20250618,3330.4343,3327.1762,3333.1164,3312.4561,3331.3491,-0.9148,-0.0275,942244041.76,1187119025.6
930903.CSI,20250619,3289.9309,3324.6256,3330.0592,3282.3306,3330.4343,-40.5034,-1.2162,1001027162.31,1248153462.732
930903.CSI,20250620,3277.8403,3285.6344,3299.7655,3276.202,3289.9309,-12.0906,-0.3675,844803611.0,1062806252.028
930903.CSI,20250623,3305.067,3261.8974,3310.1367,3261.886,3277.8403,27.2267,0.8306,902189872.57,1119548454.536
930903.CSI,20250624,3356.1109,3308.4164,3356.214,3308.4164,3305.067,51.0439,1.5444,1106294805.17,1415965426.074
930903.CSI,20250625,3401.358,3359.608,3403.338,3355.6553,3356.1109,45.2471,1.3482,1209066235.31,1606651039.622
930903.CSI,20250626,3389.6214,3397.826,3412.6227,3388.553,3401.358,-11.7366,-0.3451,1196366347.79,1587997693.345
930903.CSI,20250627,3387.7318,3394.966,3416.468,3385.2767,3389.6214,-1.8896,-0.0557,1193443481.18,1539492994.404
930903.CSI,20250630,3415.6014,3391.6065,3417.5749,3390.3793,3387.7318,27.8696,0.8227,1097651717.78,1478428889.737
930903.CSI,20250701,3424.3511,3416.6921,3425.7593,3403.1229,3415.6014,8.7497,0.2562,1106426067.33,1456963007.538
930903.CSI,20250702,3410.7995,3420.9498,3420.9498,3402.6886,3424.3511,-13.5516,-0.3957,1144792722.16,1368306271.821
930903.CSI,20250703,3431.0555,3412.5399,3433.8283,3410.646,3410.7995,20.256,0.5939,1044725601.75,1299354966.963
930903.CSI,20250704,3425.8472,3429.8561,3456.6276,3414.7272,3431.0555,-5.2083,-0.1518,1137543569.88,1421450946.1
930903.CSI,20250707,3423.6867,3420.9134,3426.9966,3416.4647,3425.8472,-2.1605,-0.0631,984929571.41,1196077808.2
930903.CSI,20250708,3459.9829,3423.7318,3461.3757,3423.7318,3423.6867,36.2962,1.0601,1123129433.28,1433103086.806
930903.CSI,20250709,3452.901,3460.821,3474.4577,3446.7723,3459.9829,-7.0819,-0.2047,1190019365.12,1485650263.316
930903.CSI,20250710,3465.3354,3451.5554,3479.6136,3447.6582,3452.901,12.4344,0.3601,1231861443.22,1475020117.058
930903.CSI,20250711,3478.662,3466.5712,3503.9716,3458.6491,3465.3354,13.3266,0.3846,1376170127.63,1698142500.963
930903.CSI,20250714,3483.5366,3481.9844,3490.8403,3479.7627,3478.662,4.8746,0.1401,1197988008.67,1452325216.469
930903.CSI,20250715,3476.1437,3482.947,3494.531,3449.5467,3483.5366,-7.3929,-0.2122,1276967819.94,1604567007.581
930903.CSI,20250716,3477.3053,3475.8235,3491.6872,3464.5086,3476.1437,1.1616,0.0334,1050827836.61,1422315787.245
930903.CSI,20250717,3509.4546,3475.8269,3509.4546,3475.2264,3477.3053,32.1493,0.9245,1078686760.68,1525880003.882
